Date,ES,6E,6M,ZN,ZC,GC,combined
1999-08-03,-1552.6400000000067,-5038.239999999991,10226.080000000005,-2437.179999999993,6424.580000000191,9868.160000000207,17490.760000000413
1999-08-04,-1552.6400000000067,-5038.239999999991,9026.080000000005,-2437.179999999993,6574.580000000191,10234.440000000235,16807.04000000044
1999-08-05,-1555.0000000000073,-5038.239999999991,9226.080000000005,-2437.179999999993,6524.580000000191,10311.720000000263,17031.96000000047
1999-08-06,-1535.0000000000073,-5038.239999999991,9426.080000000005,-2437.179999999993,6474.580000000191,10268.000000000233,17158.240000000438
1999-08-09,-1472.5000000000073,-5038.239999999991,8626.080000000005,-2437.179999999993,5999.580000000191,9890.000000000233,15567.740000000438
1999-08-10,-1542.3600000000079,-5038.239999999991,12626.080000000005,-2437.179999999993,6549.580000000191,9063.280000000144,19221.16000000035
1999-08-11,-1549.8600000000079,-5038.239999999991,11821.460000000006,-2437.179999999993,7749.580000000191,7828.40000000014,18374.160000000345
1999-08-12,-1834.8600000000079,-5038.239999999991,12458.960000000006,-2437.179999999993,7799.580000000191,7564.2400000002235,18512.50000000043
1999-08-13,-1899.8600000000079,-5038.239999999991,13021.460000000006,-2437.179999999993,7349.580000000191,7625.2400000002235,18621.00000000043
1999-08-16,-1977.3600000000079,-5038.239999999991,13321.460000000006,-2437.179999999993,7124.580000000191,6763.080000000191,17756.340000000397
1999-08-17,-1852.3600000000079,-5038.239999999991,12946.460000000006,-2437.179999999993,7274.580000000191,7784.360000000219,18677.620000000425
1999-08-18,-1774.8600000000079,-5038.239999999991,12946.460000000006,-2437.179999999993,7449.580000000191,8792.360000000219,19938.120000000425
1999-08-19,-1909.8600000000079,-5038.239999999991,12571.460000000006,-2437.179999999993,7824.580000000191,10107.200000000186,21117.960000000392
1999-08-20,-2172.360000000008,-5038.239999999991,12683.960000000006,-2437.179999999993,8074.580000000191,12493.60000000021,23604.360000000415
1999-08-23,-2217.360000000008,-5038.239999999991,13733.960000000006,-2437.179999999993,8424.580000000191,13129.12000000017,25594.880000000376
