Date,TA,M,RB,FG,MA,HC,V,RM,AG
2015-02-12,102226,138117.0,422212,16296,32024,0,389.0,150686,5668
2015-02-13,209886,360232.0,651856,18884,53604,0,609.0,361334,4790
2015-02-16,195642,261916.0,657396,25588,40906,0,822.0,259482,5050
2015-02-17,176018,133874.0,371536,9978,28770,4,462.0,118602,2532
2015-02-25,143958,180155.0,335242,13176,38192,0,961.0,162636,5048
2015-02-26,290494,550225.0,454852,63550,83290,0,739.0,742760,6922
2015-02-27,296274,1070149.0,902284,38974,127044,0,559.0,1128084,7964
2015-03-02,501952,952081.0,2084120,54338,212684,0,1824.0,1109052,7220
2015-03-03,752844,1029033.0,1818088,22592,572054,0,1288.0,1117188,15960
2015-03-04,413074,781832.0,1204940,38042,783760,0,879.0,799528,11158
2015-03-05,612164,810110.0,2670808,38064,702930,0,1186.0,858176,15838
2015-03-06,410618,867019.0,1954442,33884,625968,0,424.0,869224,8414
2015-03-09,447744,947048.0,3254646,48740,756906,0,1454.0,1305996,20360
2015-03-10,298516,818875.0,2391878,34754,628928,0,666.0,1326972,11534
2015-03-11,312698,1798761.0,2204398,28530,874916,0,1501.0,3731826,8756
2015-03-12,393520,1467964.0,2646136,36014,739014,0,1089.0,3358374,24158
2015-03-13,566376,1669870.0,2484292,26630,606490,0,641.0,4320886,16546
2015-03-16,701358,1096920.0,2887758,44432,568264,0,1206.0,2730750,20396
2015-03-17,797438,1022940.0,2039234,52068,988420,0,1956.0,2519030,11524
2015-03-18,577496,1033997.0,4334196,56174,870190,0,1664.0,2066958,18830
2015-03-19,681460,931904.0,2041408,68890,741710,0,1744.0,2336800,29486
2015-03-20,669864,817502.0,1774980,60114,529234,0,3667.0,2136052,19028
2015-03-23,1040358,1172135.0,4785718,53234,792898,0,6129.0,3026586,50768
2015-03-24,1543058,1204085.0,4221476,71794,1157326,4,3457.0,3415748,32952
2015-03-25,1087608,1055625.0,3109514,57118,889008,0,2144.0,3264014,25420
2015-03-26,1433552,960295.0,2949506,65516,1050836,0,5088.0,2486134,25984
2015-03-27,1843594,794471.0,6043130,71480,1057212,2,6357.0,2083550,30596
2015-03-30,1671630,916633.0,4261190,331252,803250,0,4155.0,2412568,30918
2015-03-31,1348392,1176292.0,5247554,163922,1040700,0,9332.0,2594546,25852
2015-04-01,1571336,2097269.0,5869210,161766,871792,0,7029.0,3829510,19172
2015-04-02,1920630,1171264.0,7905188,211904,1711192,6,4837.0,131910,39170
2015-04-03,1734136,1001635.0,6098706,217982,1768344,0,11186.0,95264,19604
2015-04-07,1767930,507516.0,4374424,184866,605694,6,8637.0,76282,9532
2015-04-08,3268656,64597.0,7162492,429472,1482150,0,9397.0,124352,12494
2015-04-09,2304432,87176.0,4823818,205942,1239990,0,10210.0,220202,44652
2015-04-10,1963868,101493.0,4749620,166842,1630296,0,9213.0,162092,29774
2015-04-13,1479752,76491.0,8377910,325274,2024718,0,8383.0,188812,43308
2015-04-14,2572878,60747.0,7287328,263636,1922386,4,12688.0,130616,38722
2015-04-15,2924608,73089.0,4532636,283924,2037596,0,5180.0,150296,55908
2015-04-16,3287060,82807.0,5042842,302730,2564286,0,11362.0,210700,52438
2015-04-17,2343218,53614.0,4649630,293054,3302062,0,7634.0,131200,60734
2015-04-20,2064008,71617.0,96368,279166,3037046,4,6428.0,159880,39532
2015-04-21,2975210,46383.0,92386,351278,3416262,0,8623.0,128628,77110
2015-04-22,2206742,77723.0,154994,352946,2857792,0,7765.0,135000,68028
2015-04-23,68114,59459.0,122634,343210,2883440,2,8626.0,134420,113186
2015-04-24,44654,261872.0,220176,584860,2809998,0,9981.0,238290,109112
2015-04-27,35352,139619.0,252906,30778,2652542,58,12119.0,156494,194074
2015-04-28,33122,130611.0,215394,16202,3394184,22,7602.0,219126,266538
2015-04-29,67076,94151.0,223094,18864,2988230,6,13362.0,175136,255112
2015-04-30,40174,85399.0,153990,18926,2577690,0,6348.0,210490,198308
2015-05-04,39586,85580.0,197734,20744,1349964,34,125.0,110410,163804
2015-05-05,48152,107701.0,262334,25072,2152702,164,23.0,299002,261840
2015-05-06,141504,124272.0,242192,22290,3288756,20,86.0,181152,354700
2015-05-07,85564,100438.0,184592,13608,2708898,20,73.0,254584,360026
2015-05-08,56122,71968.0,203318,16232,2975312,52,54.0,200486,314788
2015-05-11,58918,60458.0,158838,14526,1885392,64,59.0,129878,429510
2015-05-12,54720,117966.0,128342,11322,1753122,160,38.0,205174,564326
2015-05-13,42660,104957.0,134438,17260,1599226,54,78.0,185582,808636
2015-05-14,53168,80240.0,246380,21270,2300260,172,76.0,200366,1579674
2015-05-15,39896,87893.0,134010,19170,1899626,90,48.0,113038,1363988
2015-05-18,66224,103864.0,112064,14296,1573784,18,97.0,148734,1328736
2015-05-19,43086,89224.0,109466,14274,27396,6,41.0,227860,1219326
