Date,TA,M,RB,FG,MA,HC,V,RM,AG,combined
2016-04-27,-5940,-10790,25960,-11635,-2080,11870,7765,-9620,860,6390
2016-04-28,-5940,-10790,25960,9160,-2080,11870,7890,-9620,860,27310
2016-04-29,-5940,-10790,25960,9160,-2080,11870,7315,-9620,860,26735
2016-05-03,-5940,-10790,25960,9160,-2080,11870,6915,-9620,860,26335
2016-05-04,-5940,-10790,25960,9160,-2080,11870,6740,-9620,860,26160
2016-05-05,-5940,-10790,25960,9160,-2080,11870,6765,-9620,860,26185
2016-05-06,-5940,-10790,25960,9160,-2080,11870,6540,-9620,860,25960
2016-05-09,-5940,-10790,25960,9160,-2080,11870,6615,-9620,860,26035
2016-05-10,-5940,-10790,25960,9160,-2080,11870,6690,-9620,860,26110
2016-05-11,-5940,-10790,25960,9160,-2080,11870,6765,-9620,860,26185
2016-05-12,-5940,-10790,25960,9160,-2080,11870,6590,-9620,860,26010
2016-05-13,-5940,-10790,25960,9160,-2080,11870,6490,-9620,860,25910
2016-05-16,-5940,-10790,25960,9160,-2080,11870,6540,-9620,860,25960
2016-05-17,-5940,-10790,25960,9160,-2080,11870,6765,-9620,860,26185
2016-05-18,-5940,-10790,25960,9160,-2080,11870,6865,-9620,860,26285
2016-05-19,-5940,-10790,25960,9160,-2080,11870,7165,-9620,860,26585
2016-05-20,-5940,-10790,25960,9160,-2080,11870,6790,-9625,860,26205
2016-05-23,-5945,-10790,25960,9160,-2080,11870,6615,-10440,860,25210
2016-05-24,-6005,-10790,25960,9160,-2080,11870,6640,-10440,860,25175
2016-05-25,-6105,-10790,25960,9160,-2080,11870,6565,-10440,860,25000
2016-05-26,-5905,-10790,25960,9160,-2080,11870,6365,-10440,860,25000
2016-05-27,-6065,-10790,25960,9160,-2080,11870,6765,-10440,860,25240
2016-05-30,-6355,-10790,25960,9160,-2085,11870,6915,-10440,860,25095
2016-05-31,-6005,-10790,25960,9160,-1725,11870,6915,-10440,860,25805
2016-06-01,-6055,-10790,25960,9160,-2125,11870,6840,-10445,860,25275
2016-06-02,-6685,-10790,25960,9160,-2135,11870,6765,-10210,860,24795
2016-06-03,-6765,-10790,25960,9160,-2235,11870,6690,-10215,860,24535
2016-06-06,-6715,-10790,25960,9160,-2085,11870,6665,-9975,860,24950
2016-06-07,-6805,-10790,25960,9160,-2005,11870,6435,-9645,860,25040
2016-06-08,-6695,-10790,25960,9160,-1725,11870,6035,-8715,860,25960
2016-06-13,-6915,-10790,25960,9160,-1585,11870,5835,-9045,860,25350
2016-06-14,-6705,-10790,25960,9160,-1655,11870,5835,-8695,860,25840
2016-06-15,-6725,-10790,25960,9160,-1735,11870,5935,-9485,860,25050
2016-06-16,-6915,-10790,25960,9160,-1945,11870,6385,-9125,860,25460
2016-06-17,-7265,-10790,25960,9160,-2275,11870,7635,-9065,860,26090
2016-06-20,-6775,-10790,25960,9160,-2185,11870,7880,-9245,860,26735
2016-06-21,-7065,-10790,25960,9160,-2245,11870,8600,-9385,860,26965
2016-06-22,-7125,-10790,25960,9160,-2115,11870,9545,-9795,860,27570
2016-06-23,-6735,-10790,25960,9160,-1705,11870,9670,-9845,860,28445
2016-06-24,-7255,-10790,25960,9160,-2355,11870,10140,-9105,860,28485
2016-06-27,-7285,-10790,25960,9160,-2955,11870,9340,-8365,860,27795
2016-06-28,-7205,-10790,25960,9160,-3035,11870,9240,-8685,860,27375
2016-06-29,-7565,-10790,25960,9160,-3405,11870,10040,-8385,860,27745
2016-06-30,-7355,-10790,25960,9160,-3280,11870,10340,-7665,860,29100
2016-07-01,-8075,-10790,25960,9160,-3280,11870,11590,-7655,860,29640
2016-07-04,-7865,-10790,25960,9160,-3280,11870,11140,-8425,860,28630
2016-07-05,-7335,-10790,25960,9160,-3280,11865,10340,-9465,860,27315
2016-07-06,-7125,-10790,25960,9160,-3280,12045,10190,-10095,860,26925
2016-07-07,-6865,-10790,25960,9160,-3280,12425,8690,-10655,860,25505
2016-07-08,-6925,-10790,25960,9160,-3280,12305,8940,-10445,860,25785
2016-07-11,-7155,-10790,25955,9160,-3280,13285,10140,-10245,860,27930
2016-07-12,-7115,-10790,25730,9160,-3280,13015,9190,-9355,860,27415
2016-07-13,-7105,-10790,25730,9160,-3280,13125,9635,-8885,860,28450
2016-07-14,-7085,-10790,25725,9160,-3280,13155,9810,-10205,860,27350
2016-07-15,-6775,-10790,24155,9160,-3280,11525,9735,-10525,860,24065
2016-07-18,-6815,-10790,23530,9160,-3280,10985,9335,-9945,860,23040
2016-07-19,-6865,-10790,23530,9160,-3280,11255,9110,-10555,860,22425
2016-07-20,-7295,-10790,23530,9160,-3280,12155,9685,-10415,860,23610
2016-07-21,-7095,-10790,23530,9160,-3280,11470,9535,-11305,860,22085
2016-07-22,-6925,-10790,23530,9160,-3280,11470,9235,-11315,860,21945
2016-07-25,-6555,-10790,23530,9160,-3280,11470,9010,-11155,860,22250
2016-07-26,-6595,-10790,23530,9160,-3280,11470,9110,-11135,860,22330
2016-07-27,-6655,-10790,23530,9160,-3280,11470,9460,-11105,860,22650
2016-07-28,-5995,-10790,23530,9160,-3280,11470,9185,-11435,860,22705
2016-07-29,-6435,-10790,23530,9160,-3285,11470,9935,-11075,860,23370
