symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
SI2311,20230330,15565.0,15585.0,15550.0,15555.0,4,687,31.1275,15560.0,15595.0,SI
SI2312,20230330,15695.0,15700.0,15695.0,15700.0,2,446,15.6975,15695.0,15740.0,SI
SI2401,20230330,15685.0,15685.0,15685.0,15685.0,1,46,7.8425,15685.0,15750.0,SI
SI2402,20230330,15660.0,15660.0,15660.0,15660.0,1,40,7.83,15660.0,15755.0,SI
SI2403,20230330,0.0,0.0,0.0,15725.0,0,3,0.0,15725.0,15725.0,SI
SI2308,20230413,15155.0,15230.0,15025.0,15065.0,47834,73790,361448.7225,15110.0,15165.0,SI
SI2309,20230413,15095.0,15195.0,15005.0,15050.0,13982,16145,105537.0625,15095.0,15095.0,SI
SI2310,20230413,15130.0,15185.0,15005.0,15055.0,19,2443,142.965,15045.0,15130.0,SI
SI2311,20230413,15170.0,15175.0,15025.0,15030.0,5,913,37.7125,15085.0,15105.0,SI
SI2312,20230413,15340.0,15360.0,15285.0,15285.0,5,506,38.3475,15335.0,15320.0,SI
SI2401,20230413,15505.0,15505.0,15295.0,15295.0,7,68,53.9275,15405.0,15360.0,SI
SI2402,20230413,0.0,0.0,0.0,15395.0,0,76,0.0,15395.0,15395.0,SI
SI2403,20230413,15255.0,15345.0,15175.0,15275.0,5,29,38.165,15265.0,15400.0,SI
SI2308,20230414,15100.0,15220.0,15015.0,15085.0,65570,75421,495384.1125,15110.0,15110.0,SI
SI2309,20230414,15095.0,15195.0,15000.0,15065.0,29179,17597,220069.345,15080.0,15095.0,SI
SI2310,20230414,15165.0,15165.0,14995.0,15020.0,27,2451,203.305,15055.0,15045.0,SI
SI2311,20230414,15185.0,15185.0,15020.0,15020.0,20,926,150.6125,15060.0,15085.0,SI
SI2312,20230414,15350.0,15350.0,15225.0,15225.0,6,510,45.83,15275.0,15335.0,SI
SI2401,20230414,15375.0,15390.0,15155.0,15390.0,5,70,38.3125,15325.0,15405.0,SI
SI2402,20230414,15420.0,15420.0,15335.0,15335.0,2,77,15.3775,15375.0,15395.0,SI
SI2403,20230414,15390.0,15390.0,15330.0,15330.0,3,31,23.055,15370.0,15265.0,SI
SI2308,20230424,15100.0,15295.0,15015.0,15120.0,49468,72000,375613.79,15185.0,15125.0,SI
SI2309,20230424,15165.0,15275.0,15010.0,15095.0,29202,15845,221685.5775,15180.0,15110.0,SI
SI2310,20230424,15000.0,15220.0,15000.0,15100.0,27,2425,204.4475,15140.0,15075.0,SI
SI2311,20230424,15065.0,15235.0,15065.0,15175.0,15,938,113.9425,15190.0,15070.0,SI
SI2312,20230424,15365.0,15425.0,15365.0,15425.0,3,527,23.1075,15405.0,15335.0,SI
SI2401,20230424,15440.0,15440.0,15440.0,15440.0,2,66,15.44,15440.0,15360.0,SI
SI2402,20230424,15115.0,15450.0,15115.0,15450.0,2,76,15.2825,15280.0,15375.0,SI
SI2403,20230424,15425.0,15425.0,15425.0,15425.0,2,40,15.425,15425.0,15405.0,SI
SI2308,20230425,15160.0,15410.0,15160.0,15400.0,53476,72600,408738.8575,15285.0,15185.0,SI
SI2309,20230425,15155.0,15385.0,15140.0,15375.0,15456,15920,117864.5575,15250.0,15180.0,SI
SI2310,20230425,15250.0,15335.0,15240.0,15335.0,27,2411,206.2325,15275.0,15140.0,SI
SI2311,20230425,15250.0,15310.0,15205.0,15300.0,20,937,152.525,15250.0,15190.0,SI
SI2312,20230425,15520.0,15520.0,15475.0,15475.0,6,523,46.5375,15510.0,15405.0,SI
SI2401,20230425,15605.0,15605.0,15480.0,15550.0,7,67,54.35,15525.0,15440.0,SI
SI2402,20230425,15535.0,15535.0,15535.0,15535.0,1,76,7.7675,15535.0,15280.0,SI
SI2403,20230425,0.0,0.0,0.0,15425.0,0,40,0.0,15425.0,15425.0,SI
SI2308,20230515,14180.0,14270.0,14040.0,14085.0,57217,82520,404215.47,14125.0,14315.0,SI
SI2309,20230515,14180.0,14250.0,14035.0,14080.0,16504,20239,116456.695,14110.0,14335.0,SI
SI2310,20230515,14225.0,14225.0,14040.0,14100.0,81,2766,572.1425,14125.0,14280.0,SI
SI2311,20230515,14170.0,14200.0,14005.0,14130.0,82,1157,579.415,14130.0,14300.0,SI
SI2312,20230515,14585.0,14690.0,14475.0,14690.0,19,547,138.715,14600.0,14725.0,SI
SI2401,20230515,14620.0,14630.0,14615.0,14630.0,5,109,36.555,14620.0,14760.0,SI
SI2402,20230515,14715.0,14730.0,14715.0,14730.0,2,85,14.7225,14720.0,14820.0,SI
SI2403,20230515,14700.0,14810.0,14575.0,14805.0,5,62,36.8375,14735.0,14740.0,SI
SI2308,20230518,13860.0,13920.0,13550.0,13620.0,88463,87886,605269.53,13680.0,13885.0,SI
SI2309,20230518,13890.0,13925.0,13560.0,13660.0,22597,23588,154870.055,13705.0,13905.0,SI
SI2310,20230518,13800.0,13860.0,13600.0,13650.0,436,3259,2979.0525,13665.0,13955.0,SI
SI2311,20230518,14130.0,14140.0,13600.0,13680.0,384,1461,2635.6,13725.0,13940.0,SI
SI2312,20230518,14360.0,14385.0,14000.0,14080.0,62,595,439.82,14185.0,14390.0,SI
SI2401,20230518,14565.0,14565.0,14100.0,14170.0,39,144,278.25,14265.0,14520.0,SI
SI2402,20230518,14505.0,14555.0,14275.0,14300.0,13,94,93.27,14345.0,14660.0,SI
SI2403,20230518,14500.0,14500.0,14200.0,14200.0,8,72,57.4475,14360.0,14710.0,SI
SI2308,20230524,13120.0,13275.0,13010.0,13090.0,72858,85262,477432.2725,13105.0,13120.0,SI
SI2309,20230524,13200.0,13295.0,13050.0,13120.0,23021,29163,151378.725,13150.0,13135.0,SI
SI2310,20230524,13270.0,13300.0,13090.0,13175.0,79,3621,521.195,13190.0,13185.0,SI
SI2311,20230524,13250.0,13305.0,13110.0,13180.0,171,1871,1130.7225,13220.0,13160.0,SI
SI2312,20230524,13610.0,13660.0,13535.0,13570.0,22,613,149.695,13605.0,13600.0,SI
SI2401,20230524,13650.0,13650.0,13565.0,13615.0,4,159,27.21,13605.0,13685.0,SI
SI2402,20230524,13770.0,13770.0,13650.0,13720.0,5,94,34.34,13735.0,13780.0,SI
SI2403,20230524,13800.0,13860.0,13720.0,13750.0,5,87,34.45,13780.0,13830.0,SI
SI2308,20230525,13025.0,13035.0,12585.0,12635.0,89371,88354,573065.8225,12820.0,13105.0,SI
SI2309,20230525,13100.0,13100.0,12635.0,12680.0,24158,31279,155979.7725,12910.0,13150.0,SI
SI2310,20230525,13090.0,13090.0,12670.0,12700.0,447,3749,2885.7175,12910.0,13190.0,SI
SI2311,20230525,13020.0,13115.0,12620.0,12715.0,349,2085,2244.5825,12860.0,13220.0,SI
SI2312,20230525,13495.0,13495.0,13100.0,13200.0,119,670,790.75,13285.0,13605.0,SI
SI2401,20230525,13625.0,13625.0,13175.0,13235.0,34,167,226.5575,13325.0,13605.0,SI
SI2402,20230525,13500.0,13530.0,13310.0,13310.0,20,94,134.02,13400.0,13735.0,SI
SI2403,20230525,13690.0,13690.0,13250.0,13250.0,16,94,107.915,13485.0,13780.0,SI
SI2308,20230606,13030.0,13135.0,12950.0,12990.0,54538,79501,355083.85,13020.0,13025.0,SI
SI2309,20230606,13075.0,13160.0,12980.0,13010.0,28038,36767,182920.1875,13045.0,13075.0,SI
SI2310,20230606,13050.0,13180.0,13030.0,13040.0,74,4084,484.2625,13085.0,13045.0,SI
SI2311,20230606,13100.0,13155.0,13020.0,13035.0,95,2211,621.55,13085.0,13090.0,SI
SI2312,20230606,13540.0,13670.0,13385.0,13420.0,9,714,60.78,13505.0,13480.0,SI
SI2401,20230606,13500.0,13600.0,13460.0,13480.0,15,184,101.305,13505.0,13460.0,SI
SI2402,20230606,13500.0,13545.0,13470.0,13470.0,11,105,74.3025,13505.0,13460.0,SI
SI2403,20230606,0.0,0.0,0.0,13525.0,0,107,0.0,13525.0,13525.0,SI
SI2308,20230609,12825.0,12880.0,12710.0,12730.0,59057,78706,377798.9775,12790.0,12740.0,SI
SI2309,20230609,12820.0,12905.0,12740.0,12765.0,28670,38923,183893.145,12825.0,12775.0,SI
SI2310,20230609,12895.0,12920.0,12790.0,12830.0,519,4718,3331.4675,12835.0,12785.0,SI
SI2311,20230609,12885.0,12915.0,12810.0,12855.0,71,2314,457.1425,12875.0,12790.0,SI
SI2312,20230609,13400.0,13500.0,13200.0,13220.0,34,789,225.775,13280.0,13235.0,SI
SI2401,20230609,13505.0,13505.0,13260.0,13325.0,18,221,120.345,13370.0,13320.0,SI
SI2402,20230609,13395.0,13395.0,13145.0,13345.0,9,112,59.9,13310.0,13325.0,SI
SI2403,20230609,13420.0,13420.0,13420.0,13420.0,2,123,13.42,13420.0,13435.0,SI
SI2308,20230703,13400.0,13470.0,13280.0,13380.0,39868,64986,266573.1375,13370.0,13385.0,SI
SI2309,20230703,13310.0,13480.0,13295.0,13385.0,32622,55061,217940.775,13360.0,13385.0,SI
SI2310,20230703,13390.0,13500.0,13325.0,13410.0,4824,10317,32279.2,13380.0,13390.0,SI
SI2311,20230703,13420.0,13535.0,13350.0,13415.0,408,4437,2738.0625,13420.0,13435.0,SI
SI2312,20230703,13790.0,13840.0,13565.0,13770.0,145,1534,991.5125,13675.0,13795.0,SI
SI2401,20230703,13810.0,13810.0,13580.0,13750.0,56,445,384.3375,13725.0,13790.0,SI
SI2402,20230703,13770.0,13770.0,13685.0,13710.0,19,150,130.5475,13740.0,13765.0,SI
SI2403,20230703,13750.0,13750.0,13655.0,13745.0,19,223,130.36,13720.0,13820.0,SI
SI2308,20230710,13180.0,13365.0,13175.0,13285.0,23221,52798,154184.5075,13275.0,13215.0,SI
SI2309,20230710,13230.0,13400.0,13210.0,13330.0,54146,76760,360718.515,13320.0,13255.0,SI
SI2310,20230710,13260.0,13435.0,13245.0,13360.0,12784,20342,85297.82,13340.0,13260.0,SI
SI2311,20230710,13305.0,13430.0,13285.0,13370.0,318,5118,2126.7225,13375.0,13285.0,SI
SI2312,20230710,13690.0,13865.0,13655.0,13710.0,72,1895,494.705,13740.0,13670.0,SI
SI2401,20230710,13680.0,13830.0,13640.0,13675.0,44,464,301.8925,13720.0,13675.0,SI
SI2402,20230710,13690.0,13760.0,13655.0,13685.0,27,145,184.9775,13700.0,13665.0,SI
SI2403,20230710,13765.0,13795.0,13680.0,13680.0,9,244,61.885,13750.0,13685.0,SI
SI2308,20230717,13600.0,13600.0,13110.0,13220.0,23597,31993,158268.285,13410.0,13705.0,SI
SI2309,20230717,13605.0,13650.0,13150.0,13260.0,102167,89276,687506.105,13455.0,13745.0,SI
SI2310,20230717,13595.0,13670.0,13190.0,13300.0,17972,28695,121490.63,13515.0,13765.0,SI
SI2311,20230717,13695.0,13695.0,13245.0,13320.0,1815,6512,12220.11,13465.0,13755.0,SI
SI2312,20230717,13945.0,14090.0,13650.0,13695.0,320,2499,2222.1125,13885.0,14140.0,SI
SI2401,20230717,13930.0,14375.0,13670.0,13720.0,195,608,1355.625,13900.0,14150.0,SI
SI2402,20230717,14000.0,14100.0,13665.0,13665.0,49,154,342.0375,13960.0,14185.0,SI
SI2403,20230717,14015.0,14090.0,13645.0,13645.0,104,373,723.105,13905.0,14210.0,SI
SI2308,20230724,13300.0,13490.0,13300.0,13400.0,24883,23717,166926.6575,13415.0,13375.0,SI
SI2309,20230724,13400.0,13530.0,13365.0,13440.0,49047,89081,329881.78,13450.0,13410.0,SI
SI2310,20230724,13385.0,13575.0,13385.0,13480.0,38926,33534,262567.8225,13490.0,13455.0,SI
SI2311,20230724,13425.0,13570.0,13420.0,13485.0,1017,7276,6865.1925,13500.0,13470.0,SI
SI2312,20230724,13850.0,14015.0,13785.0,13950.0,197,2692,1374.4425,13950.0,13850.0,SI
SI2401,20230724,13845.0,14020.0,13815.0,13925.0,125,730,873.035,13965.0,13850.0,SI
SI2402,20230724,13955.0,14010.0,13925.0,13930.0,32,165,223.59,13970.0,13855.0,SI
