symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
IF1503,20140929,2490.4,2498.4,2477.4,2487.8,2444,8286.0,182521.86,2488.0,2489.0,IF
TF1412,20140929,94.626,94.788,94.6,94.698,1618,10093.0,153217.918,94.664,94.486,TF
TF1503,20140929,95.098,95.146,94.982,95.04,21,126.0,1996.184,95.05,94.87,TF
TF1506,20140929,95.306,95.516,95.214,95.284,7,40.0,667.124,95.318,95.078,TF
IF1410,20140930,2460.2,2466.8,2445.2,2453.2,563308,137904.0,41520211.176,2454.2,2454.0,IF
IF1411,20140930,2463.0,2472.4,2451.4,2461.8,6567,3312.0,485152.998,2459.0,2459.8,IF
IF1412,20140930,2467.4,2479.0,2460.0,2468.0,22362,34379.0,1657174.032,2467.2,2467.4,IF
IF1503,20140930,2490.0,2499.4,2480.0,2488.6,2231,8255.0,166668.036,2488.0,2488.0,IF
TF1412,20140930,94.724,94.8,94.676,94.752,1129,10108.0,106964.916,94.756,94.664,TF
TF1503,20140930,95.11,95.158,95.1,95.158,12,128.0,1141.592,95.152,95.05,TF
TF1506,20140930,95.366,95.366,95.334,95.338,3,43.0,286.038,95.336,95.318,TF
IF1410,20141008,2468.0,2486.0,2446.8,2483.6,684472,134400.0,50656701.036,2479.2,2454.2,IF
IF1411,20141008,2470.8,2491.6,2454.8,2490.0,14852,5453.0,1102362.0,2485.4,2459.0,IF
IF1412,20141008,2471.2,2499.8,2461.4,2498.2,34053,36418.0,2534778.708,2493.2,2467.2,IF
IF1503,20141008,2496.6,2518.0,2481.8,2516.6,3408,8245.0,255651.54,2511.6,2488.0,IF
TF1412,20141008,94.648,94.648,94.522,94.544,1084,10031.0,102524.442,94.56,94.756,TF
TF1503,20141008,94.982,95.01,94.968,94.968,18,138.0,1709.646,94.968,95.152,TF
TF1506,20141008,94.822,95.308,94.822,95.25,8,40.0,761.26,95.25,95.336,TF
IF1410,20141009,2487.0,2494.8,2467.2,2475.0,643682,130869.0,47920383.732,2478.8,2479.2,IF
IF1411,20141009,2486.4,2501.0,2473.4,2481.6,18534,8331.0,1383434.79,2484.8,2485.4,IF
IF1412,20141009,2500.6,2509.8,2482.8,2492.0,35801,38369.0,2682380.964,2494.0,2493.2,IF
IF1503,20141009,2522.6,2528.4,2502.6,2510.2,4151,8234.0,313437.93,2512.6,2511.6,IF
TF1412,20141009,94.544,94.55,94.302,94.5,1990,10025.0,187930.616,94.486,94.56,TF
TF1503,20141009,94.872,94.946,94.762,94.922,30,152.0,2845.932,94.916,94.968,TF
TF1506,20141009,95.03,95.168,95.03,95.15,9,43.0,855.854,95.15,95.25,TF
IF1410,20141010,2468.2,2483.0,2457.0,2469.8,714532,121314.0,52931514.09,2465.2,2478.8,IF
IF1411,20141010,2476.4,2488.8,2463.6,2474.6,22287,11227.0,1654970.142,2471.0,2484.8,IF
IF1412,20141010,2484.8,2497.4,2471.2,2482.8,33273,37048.0,2479154.832,2479.0,2494.0,IF
IF1503,20141010,2503.6,2516.0,2491.2,2501.0,2855,8241.0,214285.368,2498.0,2512.6,IF
TF1412,20141010,94.492,94.59,94.402,94.488,718,10015.0,67832.29,94.484,94.486,TF
TF1503,20141010,94.98,94.98,94.838,94.9,34,161.0,3226.172,94.892,94.916,TF
TF1506,20141010,95.154,95.168,95.102,95.126,4,43.0,380.55,95.146,95.15,TF
IF1410,20141013,2465.2,2467.0,2425.0,2454.4,718714,110836.0,52683448.62,2450.6,2465.2,IF
IF1411,20141013,2477.2,2477.2,2432.2,2460.2,49183,20325.0,3614408.91,2455.8,2471.0,IF
IF1412,20141013,2481.6,2481.6,2440.0,2466.6,38889,37473.0,2866375.848,2463.8,2479.0,IF
IF1503,20141013,2495.0,2498.4,2459.4,2486.4,3263,8327.0,242535.708,2482.4,2498.0,IF
TF1412,20141013,94.496,94.706,94.44,94.65,2092,10260.0,197832.678,94.61,94.484,TF
TF1503,20141013,94.838,95.034,94.838,95.02,117,215.0,11107.026,94.98,94.892,TF
TF1506,20141013,95.054,95.3,95.052,95.24,16,50.0,1522.874,95.242,95.146,TF
IF1410,20141014,2449.6,2462.4,2423.2,2438.6,719856,91676.0,52804451.046,2436.0,2450.6,IF
IF1411,20141014,2454.8,2468.0,2429.0,2442.6,85958,32322.0,6317951.916,2441.0,2455.8,IF
IF1412,20141014,2460.8,2475.6,2436.0,2449.0,36986,39252.0,2726214.402,2446.8,2463.8,IF
IF1503,20141014,2485.8,2494.0,2455.0,2467.0,3113,8527.0,231179.778,2465.8,2482.4,IF
TF1412,20141014,94.696,95.31,94.598,95.222,5813,10537.0,552211.32,95.202,94.61,TF
TF1503,20141014,95.08,95.702,94.996,95.608,243,343.0,23176.076,95.542,94.98,TF
TF1506,20141014,95.5,95.858,95.5,95.858,47,84.0,4496.742,95.748,95.242,TF
IF1410,20141015,2440.0,2465.8,2425.4,2455.0,762348,63703.0,55963747.536,2456.6,2436.0,IF
IF1411,20141015,2442.6,2467.4,2430.0,2458.8,215268,53144.0,15834084.216,2459.6,2441.0,IF
IF1412,20141015,2452.0,2472.0,2437.0,2464.0,41811,38710.0,3080945.31,2465.0,2446.8,IF
IF1503,20141015,2467.6,2490.6,2454.4,2482.2,3713,8808.0,275772.324,2483.2,2465.8,IF
TF1412,20141015,95.28,95.6,95.256,95.29,4620,10459.0,440919.89,95.296,95.202,TF
TF1503,20141015,95.642,95.976,95.642,95.702,224,418.0,21467.152,95.706,95.542,TF
TF1506,20141015,95.844,96.172,95.844,95.892,20,89.0,1920.114,95.88,95.748,TF
IF1410,20141016,2445.0,2475.8,2438.4,2446.6,435024,26584.0,32058684.606,2450.6,2456.6,IF
IF1411,20141016,2450.2,2482.4,2442.2,2450.8,706187,94215.0,52160574.744,2454.6,2459.6,IF
IF1412,20141016,2457.2,2486.6,2448.2,2454.6,53168,39374.0,3935212.098,2458.6,2465.0,IF
IF1503,20141016,2475.0,2504.0,2465.4,2471.8,5266,8655.0,392489.538,2476.2,2483.2,IF
TF1412,20141016,95.55,95.618,95.26,95.438,4304,10607.0,410854.27,95.458,95.296,TF
TF1503,20141016,95.788,96.0,95.696,95.862,170,474.0,16294.784,95.856,95.706,TF
TF1506,20141016,96.15,96.19,95.902,96.072,22,91.0,2113.832,96.062,95.88,TF
IF1410,20141017,2447.8,2453.0,2417.2,2438.0,95434,0.0,6977591.04,2438.03,2450.6,IF
IF1411,20141017,2452.8,2462.0,2425.4,2444.4,867840,120024.0,63663605.394,2449.4,2454.6,IF
IF1412,20141017,2461.0,2466.8,2429.6,2448.8,59469,38131.0,4368671.268,2454.0,2458.6,IF
IF1503,20141017,2472.2,2484.4,2446.8,2467.0,4808,8612.0,355622.202,2470.2,2476.2,IF
