Date,CurrentContract,CarryContract
1982-08-25,198212,198212
1982-08-26,198212,198212
1982-08-27,198212,198212
1982-08-30,198212,198212
1982-08-31,198212,198212
1982-09-01,198212,198212
1982-09-02,198212,198212
1982-09-03,198212,198212
1982-09-07,198212,198212
1982-09-08,198212,198212
1982-09-09,198212,198212
1982-09-10,198212,198212
1982-09-13,198212,198212
1982-09-14,198212,198212
1982-09-15,198212,198212
1982-09-16,198212,198212
1982-09-17,198212,198212
1982-09-20,198212,198212
1982-09-21,198212,198212
1982-09-22,198212,198212
1982-09-23,198212,198212
1982-09-24,198212,198212
1982-09-27,198212,198212
1982-09-28,198212,198212
1982-09-29,198212,198212
1982-09-30,198212,198212
1982-10-01,198212,198212
1982-10-04,198212,198212
1982-10-05,198212,198212
1982-10-06,198212,198212
1982-10-07,198212,198212
1982-10-08,198212,198212
1982-10-11,198212,198212
1982-10-12,198212,198212
1982-10-13,198212,198212
1982-10-14,198212,198212
1982-10-15,198212,198212
1982-10-18,198212,198212
1982-10-19,198212,198212
1982-10-20,198212,198212
1982-10-21,198212,198212
1982-10-22,198212,198212
1982-10-25,198212,198212
1982-10-26,198212,198212
1982-10-27,198212,198212
1982-10-28,198212,198212
1982-10-29,198212,198212
1982-11-01,198212,198212
1982-11-03,198212,198212
1982-11-04,198212,198212
1982-11-05,198212,198212
1982-11-08,198212,198212
1982-11-09,198212,198212
1982-11-10,198212,198212
1982-11-11,198212,198212
1982-11-12,198212,198212
1982-11-15,198212,198212
1982-11-16,198212,198212
1982-11-17,198212,198212
1982-11-18,198212,198212
1982-11-19,198212,198212
1982-11-22,198212,198212
1982-11-23,198212,198212
1982-11-24,198212,198212
1982-11-26,198212,198212
1982-11-29,198302,198302
1982-11-30,198302,198302
1982-12-01,198302,198302
1982-12-02,198302,198302
1982-12-03,198302,198302
1982-12-06,198302,198302
1982-12-07,198302,198302
1982-12-08,198302,198302
1982-12-09,198302,198302
1982-12-10,198302,198302
1982-12-13,198302,198302
1982-12-14,198302,198302
1982-12-15,198302,198302
1982-12-16,198302,198302
1982-12-17,198302,198302
1982-12-20,198302,198302
1982-12-21,198302,198302
1982-12-22,198302,198302
1982-12-23,198302,198302
1982-12-27,198302,198302
1982-12-28,198302,198302
1982-12-29,198302,198302
1982-12-30,198302,198302
1983-01-03,198302,198302
1983-01-04,198302,198302
1983-01-05,198302,198302
1983-01-06,198302,198302
1983-01-07,198302,198302
1983-01-10,198302,198302
1983-01-11,198302,198302
1983-01-12,198302,198302
1983-01-13,198302,198302
1983-01-14,198302,198302
1983-01-17,198302,198302
1983-01-18,198302,198302
1983-01-19,198302,198302
1983-01-20,198302,198302
1983-01-21,198302,198302
1983-01-24,198302,198302
1983-01-25,198302,198302
1983-01-26,198302,198302
1983-01-27,198304,198304
1983-01-28,198304,198304
1983-01-31,198304,198304
1983-02-01,198304,198304
1983-02-02,198304,198304
1983-02-03,198304,198304
1983-02-04,198304,198304
1983-02-07,198304,198304
1983-02-08,198304,198304
1983-02-09,198304,198304
1983-02-10,198304,198304
1983-02-11,198304,198304
1983-02-14,198304,198304
1983-02-15,198304,198304
1983-02-16,198304,198304
1983-02-17,198304,198304
1983-02-18,198304,198304
1983-02-22,198304,198304
1983-02-23,198304,198304
1983-02-24,198304,198304
1983-02-25,198304,198304
1983-02-28,198304,198304
1983-03-01,198304,198304
1983-03-02,198304,198304
1983-03-03,198304,198304
1983-03-04,198304,198304
1983-03-07,198304,198304
1983-03-08,198304,198304
1983-03-09,198304,198304
1983-03-10,198304,198304
1983-03-11,198304,198304
1983-03-14,198304,198304
1983-03-15,198304,198304
1983-03-16,198304,198304
1983-03-17,198304,198304
1983-03-18,198304,198304
1983-03-21,198304,198304
1983-03-22,198304,198304
1983-03-23,198304,198304
1983-03-24,198304,198304
1983-03-25,198304,198304
1983-03-28,198304,198304
1983-03-29,198304,198304
1983-03-30,198306,198306
1983-03-31,198306,198306
1983-04-04,198306,198306
1983-04-05,198306,198306
1983-04-06,198306,198306
1983-04-07,198306,198306
1983-04-08,198306,198306
1983-04-11,198306,198306
1983-04-12,198306,198306
1983-04-13,198306,198306
1983-04-14,198306,198306
1983-04-15,198306,198306
1983-04-18,198306,198306
1983-04-19,198306,198306
1983-04-20,198306,198306
1983-04-21,198306,198306
1983-04-22,198306,198306
1983-04-25,198306,198306
1983-04-26,198306,198306
1983-04-27,198306,198306
1983-04-28,198306,198306
1983-04-29,198306,198306
1983-05-02,198306,198306
1983-05-03,198306,198306
1983-05-04,198306,198306
1983-05-05,198306,198306
1983-05-06,198306,198306
1983-05-09,198306,198306
1983-05-10,198306,198306
1983-05-11,198306,198306
1983-05-12,198306,198306
1983-05-13,198306,198306
1983-05-16,198306,198306
1983-05-17,198306,198306
1983-05-18,198306,198306
1983-05-19,198306,198306
1983-05-20,198306,198306
1983-05-23,198306,198306
1983-05-24,198306,198306
1983-05-25,198306,198306
1983-05-26,198306,198306
1983-05-27,198308,198308
1983-05-31,198308,198308
1983-06-01,198308,198308
1983-06-02,198308,198308
1983-06-03,198308,198308
1983-06-06,198308,198308
1983-06-07,198308,198308
1983-06-08,198308,198308
1983-06-09,198308,198308
1983-06-10,198308,198308
1983-06-13,198308,198308
1983-06-14,198308,198308
1983-06-15,198308,198308
1983-06-16,198308,198308
1983-06-17,198308,198308
1983-06-20,198308,198308
1983-06-21,198308,198308
1983-06-22,198308,198308
1983-06-23,198308,198308
1983-06-24,198308,198308
1983-06-27,198308,198308
1983-06-28,198308,198308
1983-06-29,198308,198308
1983-06-30,198308,198308
1983-07-01,198308,198308
1983-07-05,198308,198308
1983-07-06,198308,198308
1983-07-07,198308,198308
1983-07-08,198308,198308
1983-07-11,198308,198308
1983-07-12,198308,198308
1983-07-13,198308,198308
1983-07-14,198308,198308
1983-07-15,198308,198308
1983-07-18,198308,198308
1983-07-19,198308,198308
1983-07-20,198308,198308
1983-07-21,198308,198308
1983-07-22,198308,198308
1983-07-25,198308,198308
1983-07-26,198308,198308
1983-07-27,198308,198308
1983-07-28,198312,198312
1983-07-29,198312,198312
1983-08-01,198312,198312
1983-08-02,198312,198312
1983-08-03,198312,198312
1983-08-04,198312,198312
1983-08-05,198312,198312
1983-08-08,198312,198312
1983-08-09,198312,198312
1983-08-10,198312,198312
1983-08-11,198312,198312
1983-08-12,198312,198312
1983-08-15,198312,198312
1983-08-16,198312,198312
1983-08-17,198312,198312
1983-08-18,198312,198312
1983-08-19,198312,198312
1983-08-22,198312,198312
1983-08-23,198312,198312
1983-08-24,198312,198312
1983-08-25,198312,198312
1983-08-26,198312,198312
1983-08-29,198312,198312
1983-08-30,198312,198312
1983-08-31,198312,198312
1983-09-01,198312,198312
1983-09-02,198312,198312
1983-09-06,198312,198312
1983-09-07,198312,198312
1983-09-08,198312,198312
1983-09-09,198312,198312
1983-09-12,198312,198312
1983-09-13,198312,198312
1983-09-14,198312,198312
1983-09-15,198312,198312
1983-09-16,198312,198312
1983-09-19,198312,198312
1983-09-20,198312,198312
1983-09-21,198312,198312
1983-09-22,198312,198312
