Date,CarryContract,CurrentContract
1981-02-10,198103,198105
1981-02-11,198103,198105
1981-02-12,198103,198105
1981-02-13,198103,198105
1981-02-17,198103,198105
1981-02-18,198103,198105
1981-02-19,198103,198105
1981-02-20,198103,198105
1981-02-23,198103,198105
1981-02-24,198103,198105
1981-02-25,198103,198105
1981-02-26,198103,198105
1981-02-27,198103,198105
1981-03-02,198105,198107
1981-03-03,198105,198107
1981-03-04,198105,198107
1981-03-05,198105,198112
1981-03-06,198105,198112
1981-03-09,198105,198112
1981-03-10,198105,198112
1981-03-11,198105,198112
1981-03-12,198105,198112
1981-03-13,198105,198112
1981-03-16,198105,198112
1981-03-17,198105,198112
1981-03-18,198105,198112
1981-03-19,198105,198112
1981-03-20,198105,198112
1981-03-23,198105,198112
1981-03-24,198105,198112
1981-03-25,198105,198112
1981-03-26,198105,198112
1981-03-27,198105,198112
1981-03-30,198105,198112
1981-03-31,198105,198112
1981-04-01,198105,198112
1981-04-02,198105,198112
1981-04-03,198105,198112
1981-04-06,198105,198112
1981-04-07,198105,198112
1981-04-08,198105,198112
1981-04-09,198107,198112
1981-04-10,198105,198112
1981-04-13,198107,198112
1981-04-14,198105,198112
1981-04-15,198107,198112
1981-04-16,198105,198112
1981-04-20,198107,198112
1981-04-21,198107,198112
1981-04-22,198107,198112
1981-04-23,198107,198112
1981-04-24,198107,198112
1981-04-27,198107,198112
1981-04-28,198107,198112
1981-04-29,198107,198112
1981-04-30,198107,198112
1981-05-01,198107,198112
1981-05-04,198107,198112
1981-05-05,198107,198112
1981-05-06,198107,198112
1981-05-07,198107,198112
1981-05-08,198107,198112
1981-05-11,198107,198112
1981-05-12,198107,198112
1981-05-13,198107,198112
1981-05-14,198107,198112
1981-05-15,198107,198112
1981-05-18,198107,198112
1981-05-19,198107,198112
1981-05-20,198107,198112
1981-05-21,198107,198112
1981-05-22,198107,198112
1981-05-26,198107,198112
1981-05-27,198107,198112
1981-05-28,198107,198112
1981-05-29,198107,198112
1981-06-01,198107,198112
1981-06-02,198107,198112
1981-06-03,198107,198112
1981-06-04,198107,198112
1981-06-05,198107,198112
1981-06-08,198107,198112
1981-06-09,198107,198112
1981-06-10,198107,198112
1981-06-11,198107,198112
1981-06-12,198107,198112
1981-06-15,198107,198112
1981-06-16,198107,198112
1981-06-17,198107,198112
1981-06-18,198107,198112
1981-06-19,198107,198112
1981-06-22,198107,198112
1981-06-23,198107,198112
1981-06-24,198107,198112
1981-06-25,198107,198112
1981-06-26,198107,198112
1981-06-29,198107,198112
1981-06-30,198107,198112
1981-07-01,198109,198112
1981-07-02,198109,198112
1981-07-06,198109,198112
1981-07-07,198109,198112
1981-07-08,198109,198112
1981-07-09,198109,198112
1981-07-10,198109,198112
1981-07-13,198109,198112
1981-07-14,198109,198112
1981-07-15,198109,198112
1981-07-16,198109,198112
1981-07-17,198109,198112
1981-07-20,198109,198112
1981-07-21,198109,198112
1981-07-22,198109,198112
1981-07-23,198109,198112
1981-07-24,198109,198112
1981-07-27,198109,198112
1981-07-28,198109,198112
1981-07-29,198109,198112
1981-07-30,198109,198112
1981-07-31,198109,198112
1981-08-03,198109,198112
1981-08-04,198109,198112
1981-08-05,198109,198112
1981-08-06,198109,198112
1981-08-07,198109,198112
1981-08-10,198109,198112
1981-08-11,198109,198112
1981-08-12,198109,198112
1981-08-13,198109,198112
1981-08-14,198109,198112
1981-08-17,198109,198112
1981-08-18,198109,198112
1981-08-19,198109,198112
1981-08-20,198109,198112
1981-08-21,198109,198112
1981-08-24,198109,198112
1981-08-25,198109,198112
1981-08-26,198109,198112
1981-08-27,198109,198112
1981-08-28,198109,198112
1981-08-31,198109,198112
1981-09-01,198109,198112
1981-09-02,198109,198112
1981-09-03,198109,198112
1981-09-04,198112,198203
1981-09-08,198112,198203
1981-09-09,198112,198203
1981-09-10,198112,198203
1981-09-11,198112,198203
1981-09-14,198112,198203
1981-09-15,198112,198203
1981-09-16,198112,198203
1981-09-17,198112,198203
1981-09-18,198112,198203
1981-09-21,198112,198203
1981-09-22,198112,198203
1981-09-23,198112,198203
1981-09-24,198112,198203
1981-09-25,198112,198203
1981-09-28,198112,198203
1981-09-29,198112,198203
1981-09-30,198112,198203
1981-10-01,198112,198203
1981-10-02,198112,198203
1981-10-05,198112,198203
1981-10-06,198112,198203
1981-10-07,198112,198203
1981-10-08,198112,198203
1981-10-09,198112,198203
1981-10-12,198112,198203
1981-10-13,198112,198203
1981-10-14,198112,198203
1981-10-15,198112,198203
1981-10-16,198112,198203
1981-10-19,198112,198203
1981-10-20,198112,198203
1981-10-21,198112,198203
1981-10-22,198112,198203
1981-10-23,198112,198203
1981-10-26,198112,198203
1981-10-27,198112,198203
1981-10-28,198112,198203
1981-10-29,198112,198203
1981-10-30,198112,198203
1981-11-02,198112,198203
1981-11-03,198112,198203
1981-11-04,198112,198203
1981-11-05,198112,198203
1981-11-06,198112,198203
1981-11-09,198112,198203
1981-11-10,198112,198203
1981-11-11,198112,198203
1981-11-12,198112,198203
1981-11-13,198112,198203
1981-11-16,198112,198203
1981-11-17,198112,198203
1981-11-18,198112,198203
1981-11-19,198112,198203
1981-11-20,198112,198203
1981-11-23,198112,198203
1981-11-24,198112,198203
1981-11-25,198112,198203
1981-11-27,198112,198203
1981-11-30,198112,198203
1981-12-01,198112,198203
1981-12-02,198112,198203
1981-12-03,198112,198203
1981-12-04,198112,198203
1981-12-07,198112,198203
1981-12-08,198203,198205
1981-12-09,198203,198205
1981-12-10,198203,198205
1981-12-11,198203,198205
1981-12-14,198203,198205
1981-12-15,198203,198205
1981-12-16,198203,198205
1981-12-17,198203,198205
1981-12-18,198203,198205
1981-12-21,198203,198205
1981-12-22,198203,198205
1981-12-23,198203,198205
1981-12-24,198203,198205
1981-12-28,198203,198205
1981-12-29,198203,198205
1981-12-30,198203,198205
1981-12-31,198203,198205
1982-01-04,198203,198205
1982-01-05,198203,198205
1982-01-06,198203,198205
1982-01-07,198203,198205
1982-01-08,198203,198205
1982-01-11,198203,198205
1982-01-12,198203,198205
1982-01-13,198203,198205
1982-01-14,198203,198205
1982-01-15,198203,198205
1982-01-18,198203,198205
1982-01-19,198203,198205
1982-01-20,198203,198205
1982-01-21,198203,198205
1982-01-22,198203,198205
1982-01-25,198203,198205
1982-01-26,198203,198205
1982-01-27,198203,198205
1982-01-28,198203,198205
1982-01-29,198203,198205
1982-02-01,198203,198205
1982-02-02,198203,198205
1982-02-03,198203,198212
1982-02-04,198203,198212
1982-02-05,198203,198212
1982-02-08,198203,198212
1982-02-09,198203,198212
1982-02-10,198203,198212
1982-02-11,198203,198212
1982-02-12,198203,198212
1982-02-16,198203,198212
1982-02-17,198203,198212
1982-02-18,198203,198212
1982-02-19,198203,198212
1982-02-22,198203,198212
1982-02-23,198203,198212
1982-02-24,198203,198212
1982-02-25,198203,198212
1982-02-26,198203,198212
1982-03-01,198203,198212
1982-03-02,198203,198212
1982-03-03,198203,198212
1982-03-04,198203,198212
1982-03-05,198203,198212
1982-03-08,198205,198212
1982-03-09,198205,198212
1982-03-10,198205,198212
1982-03-11,198205,198212
1982-03-12,198205,198212
1982-03-15,198205,198212
1982-03-16,198205,198212
1982-03-17,198205,198212
1982-03-18,198205,198212
1982-03-19,198205,198212
1982-03-22,198205,198212
1982-03-23,198205,198212
1982-03-24,198205,198212
1982-03-25,198205,198212
1982-03-26,198205,198212
1982-03-29,198205,198212
1982-03-30,198205,198212
1982-03-31,198205,198212
1982-04-01,198205,198212
1982-04-02,198205,198212
1982-04-05,198205,198212
1982-04-06,198205,198212
